hours,score,eca,sleep,practice,grade
7,99,Yes,9,1,91
4,82,No,4,2,65
8,51,Yes,7,2,45
5,52,Yes,5,2,36
7,75,No,8,5,66
3,78,No,9,6,61
7,73,Yes,5,6,63
8,45,Yes,4,6,42
5,77,No,8,2,61
4,89,No,4,0,69
8,91,No,4,5,84
8,79,No,6,2,73
3,47,No,9,2,27
6,47,No,4,2,33
5,79,No,7,8,68
2,72,No,4,3,43
8,73,Yes,8,4,67
6,83,Yes,7,2,70
2,54,Yes,4,9,30
5,75,No,7,0,63
1,99,Yes,4,3,71
6,96,No,9,0,85
9,74,Yes,7,6,73
1,85,No,5,6,57
3,61,No,6,3,35
7,62,Yes,7,4,49
4,79,No,8,9,66
9,84,Yes,6,6,83
3,94,Yes,6,5,74
5,90,Yes,4,3,74
3,61,Yes,7,3,39
7,44,Yes,9,1,36
5,70,Yes,6,9,58
9,52,Yes,8,1,47
7,67,Yes,9,3,60
2,97,Yes,9,4,74
4,59,No,8,3,42
9,72,No,8,2,68
2,55,Yes,4,1,32
9,68,No,5,3,64
5,62,No,7,4,45
2,63,Yes,6,0,39
4,73,Yes,7,0,58
7,46,No,9,5,36
8,77,Yes,6,4,71
3,76,Yes,4,3,54
1,43,Yes,7,0,17
4,73,No,4,6,54
2,81,Yes,4,3,58
8,61,No,7,2,53
4,44,Yes,7,6,27
2,89,Yes,6,1,65
6,81,No,9,9,75
6,62,Yes,9,0,52
4,93,No,8,3,78
6,99,No,4,7,91
2,54,Yes,9,5,33
2,70,Yes,5,8,47
4,98,No,6,0,78
8,48,No,6,0,38
7,82,Yes,8,4,70
9,97,Yes,8,5,98
8,92,Yes,4,7,87
5,64,Yes,6,2,49
2,64,Yes,6,5,41
5,88,No,5,2,71
8,60,No,4,7,54
9,48,No,4,3,42
9,94,No,9,1,91
1,87,Yes,8,8,61
9,77,No,9,9,74
7,61,Yes,4,7,54
9,82,Yes,5,5,81
8,62,Yes,4,2,52
1,88,Yes,9,1,65
8,43,Yes,7,3,36
8,68,No,7,3,61
3,54,Yes,5,0,35
1,40,Yes,8,8,15
8,93,Yes,6,9,88
3,69,No,4,7,45
3,68,Yes,9,6,49
1,59,Yes,8,5,33
5,72,Yes,9,2,60
7,80,No,8,3,71
9,83,Yes,4,1,81
7,75,No,6,6,67
9,99,No,4,1,95
8,61,Yes,6,9,58
2,52,No,9,0,29
1,46,No,5,5,21
7,47,Yes,6,3,38
7,67,Yes,8,7,60
8,84,Yes,5,0,76
5,82,Yes,9,8,69
3,48,No,7,5,30
8,64,No,5,1,57
6,95,Yes,6,7,81
3,55,Yes,5,4,36
1,49,Yes,9,4,25
3,50,No,5,4,27
5,70,Yes,9,6,61
3,51,No,7,6,34
1,99,No,6,9,76
5,70,No,8,6,57
7,53,No,5,9,45
7,90,Yes,4,1,76
9,83,Yes,8,7,83
3,71,Yes,5,0,50
7,89,No,8,1,81
1,92,No,4,6,66
4,56,Yes,8,3,38
4,74,No,8,9,56
5,40,No,4,9,25
7,68,No,4,8,56
7,90,Yes,4,8,82
4,43,Yes,7,2,23
7,62,Yes,9,2,56
3,67,No,9,8,46
6,55,Yes,4,9,43
2,51,Yes,9,7,30
9,92,Yes,8,0,92
5,60,No,4,5,45
6,84,No,5,6,70
4,56,No,4,7,36
7,79,No,4,1,71
9,52,No,9,0,49
7,91,Yes,6,3,82
1,97,Yes,8,0,71
1,71,No,9,1,43
9,76,No,8,2,77
9,89,Yes,5,3,86
4,54,No,7,5,34
9,51,No,6,7,49
3,88,No,5,8,69
7,96,No,5,3,84
6,54,No,8,0,41
8,73,Yes,6,4,68
9,45,Yes,8,4,44
5,56,No,7,8,41
1,87,No,8,5,58
3,88,Yes,4,4,68
8,96,No,8,9,94
6,59,Yes,4,9,47
8,48,No,5,4,40
9,98,Yes,7,7,100
4,44,Yes,9,0,23
1,62,No,4,4,36
1,72,No,7,0,47
4,77,Yes,8,6,60
7,95,No,9,6,83
2,53,Yes,8,9,33
3,56,No,5,7,36
1,96,No,8,6,74
5,58,No,4,8,42
1,72,Yes,5,7,47
8,40,Yes,7,7,31
1,52,No,5,2,26
1,85,Yes,7,9,58
2,66,No,6,3,42
2,45,Yes,4,3,18
6,98,No,4,0,85
7,45,Yes,7,5,36
5,72,Yes,8,1,58
1,69,Yes,9,8,45
1,85,Yes,8,0,60
3,74,Yes,6,0,56
2,62,Yes,7,9,42
5,49,No,6,5,33
6,90,No,7,0,77
7,58,Yes,6,2,51
4,90,No,7,9,72
7,67,Yes,4,1,57
8,62,No,6,8,53
1,43,No,6,4,16
6,59,No,7,5,45
8,58,No,5,1,49
5,81,Yes,5,7,67
4,66,No,4,5,49
2,96,No,8,7,73
6,73,No,8,7,65
6,43,Yes,4,0,27
1,95,No,8,6,72
9,77,Yes,9,1,74
6,46,Yes,9,7,38
3,87,No,9,1,67
4,46,Yes,9,3,28
4,89,No,7,1,73
3,91,No,5,6,72
3,65,No,4,4,42
3,65,No,7,8,47
4,93,No,9,4,77
7,58,No,4,7,49
4,48,No,5,1,30
9,59,Yes,8,2,54
1,81,Yes,7,5,56
8,84,No,5,6,75
7,89,No,4,9,78
2,55,Yes,6,7,32
8,93,No,7,2,89
1,56,Yes,4,6,29
9,61,Yes,4,7,57
9,52,No,5,9,48
2,51,No,4,5,27
7,49,Yes,7,3,38
3,40,Yes,9,5,18
7,71,No,7,8,66
9,69,No,4,2,65
4,47,Yes,5,1,27
1,60,Yes,7,4,33
2,61,Yes,6,6,37
1,57,No,9,2,29
5,41,No,8,4,26
5,87,No,5,3,72
7,83,Yes,5,6,77
9,48,Yes,8,1,45
9,42,No,8,6,41
3,93,Yes,7,1,73
3,65,Yes,4,2,43
3,60,Yes,4,4,39
4,69,Yes,6,6,54
8,67,Yes,9,5,62
6,75,No,4,6,63
8,65,No,6,5,59
1,73,No,6,0,46
8,47,No,5,4,42
4,49,No,5,0,30
1,87,Yes,9,6,63
8,94,Yes,7,3,89
4,82,Yes,8,4,62
6,89,No,8,0,77
8,93,Yes,9,7,88
4,53,Yes,6,3,35
3,79,Yes,9,2,60
9,94,No,8,0,92
3,54,Yes,6,3,38
9,56,Yes,8,2,56
2,92,No,7,7,70
2,57,No,5,8,35
2,71,Yes,5,4,47
6,77,No,6,8,66
3,62,Yes,9,0,43
9,85,No,8,6,81
4,62,Yes,4,6,43
1,74,Yes,7,5,46
4,78,No,8,3,61
1,54,No,4,8,27
5,92,No,7,2,77
4,63,No,7,0,43
8,67,Yes,5,1,60
8,55,No,6,2,48
7,55,Yes,8,1,47
3,79,Yes,7,5,60
1,78,Yes,8,6,53
1,45,No,7,4,19
3,41,Yes,9,4,23
6,93,Yes,5,6,81
7,52,No,6,5,41
6,83,Yes,4,7,71
6,86,Yes,4,8,75
6,98,Yes,9,1,89
3,48,No,5,1,28
6,73,Yes,7,0,60
8,56,Yes,5,6,54
2,66,Yes,6,3,41
5,68,No,4,8,52
1,76,No,8,5,53
1,82,No,4,6,52
5,61,Yes,6,6,47
3,90,Yes,7,7,71
4,63,Yes,5,3,42
3,46,Yes,4,2,21
1,73,Yes,4,2,48
1,87,No,8,9,64
5,51,Yes,5,7,38
6,62,Yes,8,2,49
3,54,No,8,7,35
