,orig,pred
398,3,2
335,2,2
287,5,5
190,5,4
352,2,1
220,2,3
319,5,5
458,4,3
56,4,4
322,5,5
70,2,1
48,3,3
12,3,4
236,5,5
140,2,1
432,5,4
467,5,5
381,1,1
253,5,5
363,4,5
428,4,3
141,4,3
403,4,4
192,4,4
420,1,1
486,5,4
291,3,4
401,4,4
5,3,4
386,5,5
364,5,5
425,1,1
334,2,2
347,2,2
470,5,5
378,5,4
340,3,3
53,4,4
360,1,1
320,4,4
113,2,3
202,4,4
217,5,4
477,2,2
62,0,0
483,4,4
51,1,1
362,5,5
457,2,3
286,4,3
111,5,5
275,3,3
21,5,5
370,3,2
133,4,4
464,2,2
122,4,5
127,4,4
165,2,2
262,5,5
426,4,5
344,4,4
14,2,2
148,3,3
33,5,5
43,5,5
237,5,5
302,2,2
421,5,5
41,5,5
371,5,5
154,5,5
338,4,4
118,5,5
3,3,4
195,5,5
433,4,5
408,5,5
150,0,0
223,5,5
222,4,4
194,5,4
455,2,2
206,5,5
333,2,2
387,4,3
98,1,2
182,4,4
292,3,2
124,5,5
391,2,2
179,3,4
119,5,5
272,4,4
328,3,2
44,4,4
156,3,3
435,5,5
248,3,3
383,5,5
22,4,4
240,3,3
257,5,5
23,5,5
152,3,2
120,4,3
354,0,0
60,0,0
138,5,5
128,5,5
312,5,5
466,3,4
254,5,5
273,0,2
480,5,5
277,2,2
342,4,4
261,5,5
218,5,5
143,5,5
224,0,1
288,2,1
481,4,4
476,5,5
339,5,5
